Record Type|Document Number|Local Report Number|Crash Severity|Private Property Indicator|Hit/Skip|Photos Taken|Reporting Agency NCIC|Number of Units|Unit in Error|Crash Date|Time of Crash|Day of Week|In City, Village, Township|FIPS Place Code|Enter Name of City, Village, Township|County|Latitude|Longitude|Crash/Loc Prefix|Location Road Name|Location Road Type|Distance from Reference|Direction from Reference|Ref Road Prefix|Reference Road Name|Reference Route Type|Reference Point Used|Crash Location|Location of First Harmful Event|Road Contour|Road Conditions - Primary|Road Conditions - Secondary|Manner of Crash Collision/Impact|Weather|Light Conditions - Primary|Light Conditions - Secondary|School Bus Related|Work Zone Related|Type of Work Zone|Location of Crash in Work Zone|Workers Present|Road Surface|Number of Lanes|Alcohol Related|Drug Related|Total Injured|Total Killed|Animal Related|Bicycle Related|Motorcycle Related|Speed Related|Pedestrian Related|Semi-Truck Related|Small Truck Related|Youth Related|Teen Related|Drinking Driver <21 Related|Senior Related|Local Information|Divided/Undivided roadway|Divided Lane Direction of Travel|Location Route Number|Location Route Type|Distance from Reference Measurement|Reference Route Number|Intersection Related|School Zone Related|Law Enforcement Present in Work Zone|Reference Road Type
C|20146004404|14001898|3|0|0|0|05714|2|1|1092014|1940|5|1|36610|Huber Heights|57|39.839809|84.11775|||ST|0.0|||FISHBURG||1|2|1|2|3||6|6|4||1|0|0|0|0.0|2|4|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0||2||00201|SR|0||1|0|1|RD
C|20146004504|2014000000361|3|0|2|0|03129|2|2|1132014|756|2|1|65732|Reading|31|39.227125|84.42938000000002||HUNT RD|RD|100.0|S||001900||3|1|1|2|1||2|2|4||1|0|0|0|1.0|2|2|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|2014-012|2||||2||0|0|0|
C|20146004603|00000000014-11|3|0|0|1|05400|2|2|1022014|1558|5|2|27902|Fort Recovery|54|40.414393|84.77485||BROADWAY|ST|0.0|||FIRST ST||1|2|1|1|3||6|6|1||1|0|0|0|0.0|2|2|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0||2||||0||1|0|1|ST
C|20146004703|140100267|3|0|0|1|07203|3|1|1102014|1030|6|1|28826|Fremont|72|41.358092|83.1268||WHITE|AV|0.0|||1111||3|1|1|1|3|4.0|2|2|1||1|0|0|0||1|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0||2||||0||0|0|0|
C|20146004803|41-0041-34|3|0|0|1|OHP41|1|98|1112014|2015|7|3|51940|Moorefield (Township of)|34|40.207663|81.13515||||0.3|E||7||2|1|1|1|1||1|2|5||1|0|0|0|0.0|2|2|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0||2||22|US|1||0|0|1|MP
C|20146004903|145000160|2|0|0|0|CIP00|2|1|1072014|1315|3|1|15000|Cincinnati|31|39.137645|84.47572||Woodburn|AV|0.0|||3298||3|6|1|1|1||3|1|1||1|0|0|0|0.0|2|4|0|0|1|0|0|0|0|1|0|0|0|1|0|0|0||2||||0||1|0|1|
C|20146005003|140037397|3|0|0|0|COP00|2|2|1142014|922|3|1|18000|Columbus|25|39.962017|83.0024|W|Broad|ST|50.0|W|S|Front||1|2|1|2|1||2|2|1||1|0|0|0|0.0|2|4|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|5 /160|1|E|||2||1|0|1|ST
C|20146005103|83-0049-83|2|0|0|1|OHP83|1|1|1072014|2019|3|3|33474|Harlan (Township of)|83|39.300937|84.0558||||0.2|W|||TR|1|1|4|2|4|3.0|1|2|5||1|0|0|0|0.0|2|2|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|WHITACRE RD.|2||181|CR|1|183|0|0|1|
C|20146005203|67-0062-67|3|0|0|1|OHP67|1|98|1102014|0|6|3|59822|Paris (Township of)|67|41.157647|81.00258000000002||||0.2|W|||CR|1|1|1|1|1||1|1|5||1|0|0|0|0.0|2|2|0|0|0|0|1|0|0|0|0|0|0|1|1|0|0||2||188|TR|1|135|0|0|1|
C|20146005303|57-0067-68|2|0|0|1|OHP57|2|1|1132014|1002|2|3|81564|Washington (Township of)|68|39.743956|84.59849||||0.3|W||14||2|2|1|1|1||6|2|1||1|0|0|0|0.0|2|2|0|0|2|0|0|0|0|0|0|0|0|1|0|0|1||2||35|US|1||1|0|1|MP
