date,team
20180530,NYA
20180530,TBA
20180530,TEX
20180531,ATL
20180531,PHI
20180531,CHN
20180531,SDN
20180531,SLN
20180531,DET
20180531,HOU
20180531,CLE
20180531,OAK
20180531,SEA
20180601,ARI
20180601,ATL
20180601,LAN
20180601,CHN
20180601,CIN
20180601,SFN
20180601,PIT
20180601,ANA
20180601,NYA
20180601,CHA
20180601,DET
20180601,HOU
20180601,OAK
20180601,MIN
20180601,SEA
20180602,ARI
20180602,WAS
20180602,LAN
20180602,CHN
20180602,SDN
20180602,SFN
20180602,SLN
20180602,TEX
20180602,NYA
20180602,MIL
20180602,DET
20180602,BOS
20180602,KCA
20180602,MIN
20180602,SEA
20180603,ARI
20180603,ATL
20180603,LAN
20180603,CHN
20180603,SDN
20180603,SFN
20180603,SLN
20180603,ANA
20180603,CHA
20180603,TOR
20180603,BOS
20180603,OAK
20180603,MIN
20180603,SEA
20180604,SDN
20180604,SFN
20180604,ANA
20180604,NYA
20180604,DET
20180605,PHI
20180605,COL
20180605,BAL
20180605,LAN
20180605,ATL
20180605,ARI
20180605,MIA
20180605,WAS
20180605,ANA
20180605,BOS
20180605,CLE
20180605,SEA
20180605,MIN
20180605,CHA
20180605,TEX
20180605,NYA
20180606,CHN
20180606,COL
20180606,BAL
20180606,PIT
20180606,SDN
20180606,SFN
20180606,MIA
20180606,WAS
20180606,ANA
20180606,BOS
20180606,CLE
20180606,HOU
20180606,CHA
20180606,TEX
20180606,NYA
20180607,CHN
20180607,CIN
20180607,LAN
20180607,SLN
20180607,DET
20180607,MIN
20180607,OAK
20180607,SEA
20180607,HOU
20180607,TOR
20180608,CHN
20180608,SLN
20180608,ARI
20180608,LAN
20180608,MIA
20180608,NYA
20180608,MIL
20180608,SFN
20180608,CHA
20180608,CLE
20180608,ANA
20180608,OAK
20180608,SEA
20180608,HOU
20180608,TOR
20180609,CHN
20180609,SLN
20180609,ARI
20180609,ATL
20180609,SDN
20180609,NYA
20180609,MIL
20180609,WAS
20180609,BOS
20180609,DET
20180609,ANA
20180609,KCA
20180609,TBA
20180609,HOU
20180609,TOR
20180610,PIT
20180610,CIN
20180610,ARI
20180610,LAN
20180610,SDN
20180610,NYN
20180610,PHI
20180610,SFN
20180610,CHA
20180610,CLE
20180610,MIN
20180610,OAK
20180610,SEA
20180610,HOU
20180610,TOR
20180611,ARI
20180611,MIA
20180611,CHN
20180611,SLN
20180611,BOS
20180611,CLE
20180611,SEA
20180611,TBA
20180612,ARI
20180612,ATL
20180612,LAN
20180612,MIA
20180612,MIL
20180612,PHI
20180612,SDN
20180612,BOS
20180612,CHA
20180612,MIN
20180612,CIN
20180612,NYA
20180612,HOU
20180612,SEA
20180612,TBA
20180613,PIT
20180613,ATL
20180613,LAN
20180613,MIA
20180613,MIL
20180613,COL
20180613,SDN
20180613,BOS
20180613,CHA
20180613,DET
20180613,CIN
20180613,WAS
20180613,HOU
20180613,SEA
20180613,TBA
20180614,ARI
20180614,ATL
20180614,SFN
20180614,PHI
20180614,CLE
20180614,DET
20180614,NYA
20180614,HOU
20180614,BOS
20180615,ARI
20180615,SDN
20180615,LAN
20180615,MIL
20180615,PIT
20180615,CHN
20180615,MIA
20180615,DET
20180615,MIN
20180615,HOU
20180615,NYA
20180615,ANA
20180615,SEA
20180615,COL
20180615,TOR
20180616,NYN
20180616,ATL
20180616,LAN
20180616,PHI
20180616,PIT
20180616,CHN
20180616,MIA
20180616,DET
20180616,MIN
20180616,HOU
20180616,NYA
20180616,OAK
20180616,SEA
20180616,TEX
20180616,TOR
20180617,NYN
20180617,ATL
20180617,SFN
20180617,PHI
20180617,CIN
20180617,SLN
20180617,BAL
20180617,DET
20180617,CLE
20180617,HOU
20180617,TBA
20180617,OAK
20180617,BOS
20180617,TEX
20180617,TOR
20180618,NYN
20180618,PHI
20180618,PIT
20180618,MIA
20180618,NYA
20180618,ARI
20180618,CLE
20180618,HOU
20180618,TEX
20180619,LAN
20180619,CHN
20180619,CIN
20180619,COL
20180619,SLN
20180619,MIL
20180619,OAK
20180619,SFN
20180619,WAS
20180619,ANA
20180619,CLE
20180619,TBA
20180619,TEX
20180619,MIN
20180619,NYA
20180619,ATL
20180620,CHN
20180620,CIN
20180620,COL
20180620,PHI
20180620,OAK
20180620,SFN
20180620,BAL
20180620,CLE
20180620,HOU
20180620,TEX
20180620,MIN
20180620,NYA
20180620,TOR
20180621,CIN
20180621,COL
20180621,MIL
20180621,ARI
20180621,SFN
20180621,WAS
20180621,ANA
20180621,BOS
20180621,NYA
20180622,BAL
20180622,CIN
20180622,COL
20180622,MIL
20180622,LAN
20180622,ARI
20180622,SDN
20180622,PHI
20180622,ANA
20180622,BOS
20180622,OAK
20180622,CHA
20180622,CLE
20180622,KCA
20180622,TEX
20180622,TBA
20180623,BAL
20180623,CIN
20180623,MIA
20180623,SLN
20180623,LAN
20180623,ARI
20180623,SFN
20180623,PHI
20180623,TOR
20180623,SEA
20180623,OAK
20180623,CLE
20180623,HOU
20180623,TEX
20180623,TBA
20180624,ATL
20180624,CIN
20180624,MIA
20180624,SLN
20180624,LAN
20180624,ARI
20180624,SFN
20180624,WAS
20180624,TOR
20180624,BOS
20180624,CHA
20180624,CLE
20180624,HOU
20180624,MIN
20180624,TBA
20180625,ATL
20180625,LAN
20180625,MIA
20180625,PIT
20180625,NYA
20180625,SLN
20180625,SEA
20180625,OAK
20180625,TOR
20180625,KCA
20180625,TBA
20180625,TEX
20180626,CIN
20180626,CHN
20180626,ARI
20180626,MIL
20180626,NYN
20180626,NYA
20180626,SFN
20180626,SLN
20180626,SEA
20180626,BOS
20180626,CHA
20180626,OAK
20180626,HOU
20180626,TBA
20180626,SDN
20180627,CIN
20180627,LAN
20180627,ARI
20180627,KCA
20180627,PIT
20180627,PHI
20180627,SFN
20180627,CLE
20180627,SEA
20180627,BOS
20180627,CHA
20180627,OAK
20180627,HOU
20180627,TEX
20180628,MIL
20180628,CHN
20180628,ARI
20180628,PHI
20180628,COL
20180628,SEA
20180628,BOS
20180628,MIN
20180628,OAK
20180628,HOU
20180629,SFN
20180629,CHN
20180629,MIL
20180629,COL
20180629,MIA
20180629,WAS
20180629,PIT
20180629,ATL
20180629,ANA
20180629,NYA
20180629,OAK
20180629,SEA
20180629,TBA
20180629,TEX
20180629,TOR
20180630,SFN
20180630,CHN
20180630,CIN
20180630,COL
20180630,MIA
20180630,PHI
20180630,SDN
20180630,ATL
20180630,ANA
20180630,BOS
20180630,OAK
20180630,SEA
20180630,TBA
20180630,TEX
20180630,TOR
20180701,SFN
20180701,CHN
20180701,CIN
20180701,LAN
20180701,NYN
20180701,PHI
20180701,PIT
20180701,ATL
20180701,BAL
20180701,NYA
20180701,CLE
20180701,SEA
20180701,TBA
20180701,CHA
20180701,DET
20180702,SLN
20180702,CIN
20180702,COL
