maxTemp,minTemp,wind,longitude,latitude
36.19,19.52,17.31,-87.0,46.4
36.04,19.22,17.36,-87.0,46.5
36.26,24.04,17.92,-86.9,45.8
36.13,23.07,18.05,-86.9,45.9
36.21,22.43,17.34,-86.9,46.0
36.21,21.4,16.95,-86.9,46.1
36.24,20.57,17.99,-86.9,46.2
36.18,19.22,17.44,-86.9,46.3
36.28,19.48,17.3,-86.9,46.4
36.25,23.59,18.48,-86.8,45.8
36.11,22.96,18.1,-86.8,45.9
36.09,21.93,17.71,-86.8,46.0
36.24,21.41,16.96,-86.8,46.1
36.26,20.58,16.22,-86.8,46.2
36.35,19.86,17.31,-86.8,46.3
36.52,19.58,17.21,-86.8,46.4
50.36,40.09,21.15,-86.7,41.8
36.1,22.37,18.04,-86.7,45.9
36.11,21.85,17.7,-86.7,46.0
36.3,21.3,16.94,-86.7,46.1
36.38,20.91,16.59,-86.7,46.2
36.56,20.04,17.16,-86.7,46.3
37.04,19.8,16.67,-86.7,46.4
50.72,39.77,21.31,-86.6,41.8
50.52,40.32,21.28,-86.6,41.9
36.26,24.45,19.66,-86.6,45.7
36.11,22.43,18.62,-86.6,45.9
36.1,21.74,17.64,-86.6,46.0
36.29,21.27,16.96,-86.6,46.1
36.39,20.99,16.67,-86.6,46.2
36.6,20.23,17.27,-86.6,46.3
37.08,19.9,16.82,-86.6,46.4
50.89,39.46,21.2,-86.5,41.8
50.28,40.07,21.77,-86.5,41.9
49.97,40.61,22.31,-86.5,42.0
39.82,35.17,22.78,-86.5,43.6
39.54,34.4,22.53,-86.5,43.7
36.1,22.97,19.07,-86.5,45.8
36.08,22.22,18.49,-86.5,45.9
36.07,21.79,18.15,-86.5,46.0
36.26,21.21,16.95,-86.5,46.1
36.37,21.0,16.8,-86.5,46.2
36.54,20.37,17.66,-86.5,46.3
36.64,19.95,18.57,-86.5,46.4
36.6,19.88,19.35,-86.5,46.5
51.15,38.91,20.32,-86.4,41.8
50.4,39.56,21.04,-86.4,41.9
49.67,40.31,21.73,-86.4,42.0
49.21,41.21,22.38,-86.4,42.1
48.9,40.97,22.18,-86.4,42.2
40.85,35.97,22.89,-86.4,43.4
40.06,35.23,22.8,-86.4,43.5
39.78,34.78,22.69,-86.4,43.6
39.7,34.58,22.56,-86.4,43.7
39.35,34.07,22.11,-86.4,43.8
39.4,34.18,20.93,-86.4,43.9
39.4,33.95,21.66,-86.4,44.0
39.6,33.77,23.49,-86.4,44.1
36.06,22.68,18.86,-86.4,45.8
